Air Europa,A,55,210
Avianca,AA,75,228
Air Seychelles,AC,68,101
Aerolineas Argentinas,AE,54,221
Aegean Air,AEG,66,237
Air France,AF,50,245
Alaska Airlines,AI,67,129
Air ALM,AIA,65,232
Air Canada,AIC,63,343
Air India,AIN,83,252
Air Japan,AIR,64,170
Aer Lingus,AL,59,216
Alitalia,ALi,83,308
Air Malta,AM,63,134
American Airlines,AMI,71,327
All Nippon,AN,57,150
Air Portugal,AO,82,187
Air China,AR,64,194
Air Transat,AT,88,178
Air Mauritius,AU,84,353
Austrian Air,AUA,56,256
Air New Zealand,AZ,51,219
Azerbaijan Airl,AZA,103,138
British Airways,BA,73,278
Bangkok Airways,BAK,63,284
bmi regional,BE,56,135
Brussels Airlines,BI,80,356
Blue Air,BL,89,273
British European,BU,70,260
China Eastern Airlines,CEI,58,281
Comair Ltd.,CI,52,182
Cathay Pacific,CP,51,216
China Southern Airlines,CSA,63,207
Delta,DEL,51,163
Condor,DOR,68,209
Delta Air Lines,DR,51,163
El Al Israel,E,47,182
Etihad Airways,EA,70,148
Easyjet,EE,41,119
Egyptair,EG,71,211
Ethiopian Air,EI,118,261
Emirates,EM,126,90
EVA Airways,EVAA,61,199
Flybe,FB,60,127
Finnair,FF,51,221
Gol Transport,GA,74,135
Garuda Indonesia,GD,64,227
Gulf Air,GU,78,184
Hahn Air,HA,47,145
Hawaiian,HAWI,71,222
Iberia,IB,62,193
Icelandair,IL,60,215
Jet Airways,JA,49,230
Jet2,JET2,82,248
Jetstar,JJ,43,122
Kenya Airways,KA,57,197
KLM,KLM,83,356
KLM Royal Dutch Airlines,KLMI,83,356
Lufthansa,LF,57,242
Latam Airlines,LI,50,196
Liat Ltd,LIA,76,122
Lan Chile,LN,50,196
Latam Air,LT,50,196
Malaysia Airlines,Maly,60,173
Monarch Airlines,MI,63,305
Middle East,ML,66,253
Monarch,MM,63,305
Norwegian Air UK,N ,72,250
Norwegian Air Int,NA,72,250
Norwegian UK,NG,72,250
Norwegian Air Shuttle,NS,72,250
Norwegian Shuttle,NSH,72,250
Oman Aviation,OV,56,162
Philippine Airlines,PHI,59,274
Pegasus Airlines,PI,45,145
Qantas Airways,QA,57,316
Qatar Airways,QAT,64,173
Royal Brunei Airline,RA,69,170
Royal Air Maroc,RAA,121,180
RyanAir,RR,53,207
South African Airways,SA,93,185
SAS,SAS,44,92
Saudi Arabian,SAU,55,189
Scoot,SCO,96,112
SriLankan,SI,88,126
Singapore Airlines,SIA,64,142
SKY Airlines,SKYI,58,127
SN Brussels Airlines,SNI,80,356
South African,SOA,93,185
Swiss International,SWI,57,148
Thai Airways International,TA,55,161
TAM Linhas Aerea,TAMS,50,196
Thomas Cook,TC,48,220
Thomas Cook Airlines,TCA,114,173
ThomsonFlights,TF,64,119
Tigerair,TI,61,144
Turkish Airlines,TIk,52,234
Tarom-Romanian,TO,69,255
Thai Airways Intl,TY,55,161
United Airlines,UI,55,204
United,UN,55,204
Virgin America,VA,49,197
Vietnam Airlines,VI,66,347
Virgin Australia,VS,58,178
Virgin Atlantic,VT,59,156
Vueling,VV,51,139
WOW Airlines,WOWI,157,188
WestJet,WW,46,160
