id,depair,destair,indepartcode,inarrivecode,outflightno,outdepartdate,outdeparttime,outarrivaldate,outarrivaltime,outbookingclass,outflightclass,outcarriercode,inflightno,indepartdate,indeparttime,inarrivaldate,inarrivaltime,inbookingclass,inflightclass,incarriercode,originalprice,originalcurrency,reservation,carrier,oneway
1792211,LHR,DXB,DEL,LHR,BA109,01/01/2018,21:40:00,02/01/2018,08:35:00,,Economy,BA,BA256,20/01/2018,11:05:00,20/01/2018,15:10:00,,Economy,BA,1018.14,GBP,VX93UK,British Airways,0
1803064,GLA,AUH,DEL,GLA,BA1477,01/01/2018,08:55:00,02/01/2018,00:35:00,,Economy,BA,BA256,20/01/2018,11:05:00,20/01/2018,18:30:00,,Economy,BA,514.09,GBP,K3BDWJ,British Airways,0
1665683,SYD,HKG,HKG,LHR,CX162,01/01/2018,11:25:00,01/01/2018,17:50:00,,Economy,CX,CX253,05/01/2018,15:05:00,05/01/2018,20:15:00,,Economy,CX,2567.24,AUD,WW6VWU,Cathay Pacific,0
1672415,SYD,LHR,,,CX162,01/01/2018,11:25:00,02/01/2018,20:15:00,,Economy,CX,,,00:00:00,,00:00:00,,,,2570.24,AUD,MX5JVX,Cathay Pacific,1
1632850,BCN,LGW,,,D85500,01/01/2018,10:10:00,01/01/2018,11:25:00,,Economy,D8,,,00:00:00,,00:00:00,,,,196.6,GBP,5HSOSL,Norwegian Air Int,1
1752782,LGW,DXB,DEL,LGW,EK10,01/01/2018,20:25:00,02/01/2018,07:20:00,,Economy,EK,EK515,20/01/2018,21:25:00,21/01/2018,11:40:00,,Economy,EK,919.74,GBP,WLR6GI,Emirates,0
1742991,MAN,DXB,DEL,MAN,EK20,01/01/2018,20:35:00,02/01/2018,07:50:00,,Economy,EK,EK511,20/01/2018,10:35:00,20/01/2018,18:40:00,,Economy,EK,846.68,GBP,MOK6BH,Emirates,0
1752874,MAN,DXB,DEL,MAN,EK20,01/01/2018,20:35:00,02/01/2018,07:50:00,,Economy,EK,EK515,20/01/2018,21:25:00,21/01/2018,07:00:00,,Economy,EK,896.68,GBP,WOGSIZ,Emirates,0
1792838,MAN,DXB,DEL,MAN,EK22,01/01/2018,08:45:00,01/01/2018,19:45:00,,Economy,EK,EK511,20/01/2018,10:35:00,20/01/2018,18:40:00,,Economy,EK,914.08,GBP,JFB3KJ,Emirates,0
1782788,GLA,DXB,DEL,GLA,EK28,01/01/2018,13:00:00,02/01/2018,00:30:00,,Economy,EK,EK511,20/01/2018,10:35:00,20/01/2018,19:00:00,,Economy,EK,843.16,GBP,LNMLPN,Emirates,0
1782823,GLA,DXB,DEL,GLA,EK28,01/01/2018,13:00:00,02/01/2018,00:30:00,,Economy,EK,EK511,20/01/2018,10:35:00,20/01/2018,19:00:00,,Economy,EK,977.16,GBP,LPE5F4,Emirates,0
1625653,BHX,ZVJ,DEL,BHX,EK38,01/01/2018,20:45:00,02/01/2018,11:45:00,,Economy,EK,EK511,20/01/2018,10:35:00,20/01/2018,18:45:00,,Economy,EK,1129.56,GBP,4WQOD4,Emirates,0
1623864,MAN,AUH,DEL,MAN,QR24,01/01/2018,21:00:00,02/01/2018,10:30:00,,Economy,QR,QR571,22/01/2018,09:45:00,22/01/2018,19:20:00,,Economy,QR,1112.1,GBP,4R8PQM,Qatar Airways,0
1686618,LHR,DXB,DEL,LHR,VS400,01/01/2018,22:35:00,02/01/2018,09:40:00,,Business,VS,VS301,20/01/2018,14:00:00,20/01/2018,17:55:00,,Business,VS,3344.74,GBP,KBJRF7,Virgin Atlantic,0
1694875,LHR,DXB,DEL,LHR,VS400,01/01/2018,22:35:00,02/01/2018,09:40:00,,Business,VS,VS301,20/01/2018,14:00:00,20/01/2018,17:55:00,,Business,VS,3800.54,GBP,QOQMUU,Virgin Atlantic,0
1768256,LHR,DXB,DEL,LHR,VS400,01/01/2018,21:55:00,02/01/2018,09:00:00,,Economy,VS,VS301,20/01/2018,14:00:00,20/01/2018,17:55:00,,Economy,VS,958.74,GBP,KVWM9M,Virgin Atlantic,0
1709771,GLA,MIA,SJO,GLA,BA1477,02/01/2018,08:55:00,02/01/2018,17:40:00,,Business,BA,AA1238,17/01/2018,11:38:00,18/01/2018,14:30:00,,Business,AA,10021.56,GBP,N42GQL,British Airways,0
1729287,LHR,LAX,LAX,LHR,BA269,02/01/2018,15:15:00,02/01/2018,18:30:00,,Economy,BA,BA1540,18/01/2018,17:25:00,19/01/2018,12:05:00,,Economy,BA,815.54,GBP,UIMBTO,British Airways,0
1723487,LHR,HAV,HAV,LHR,BA514,02/01/2018,10:40:00,02/01/2018,20:25:00,,Economy,BA,BA4214,16/01/2018,22:15:00,17/01/2018,16:20:00,,Economy,BA,1884.4,GBP,USPHTG,Iberia,0
1616264,LHR,SYD,SYD,LHR,MH3,02/01/2018,10:00:00,03/01/2018,19:45:00,,Economy,MH,MH122,21/01/2018,14:30:00,22/01/2018,05:35:00,,Economy,MH,1767.34,GBP,4AAZH9,Malaysia Airlines,0
1766497,SYD,MEL,MEL,SYD,QF417,02/01/2018,08:30:00,02/01/2018,10:05:00,,Economy,QF,QF430,14/01/2018,12:00:00,14/01/2018,13:25:00,,Economy,QF,556,AUD,TTN5ER,Qantas Airways,0
1838013,HKG,TPA,TPA,HKG,UA7988,02/01/2018,10:00:00,02/01/2018,21:14:00,,Economy,UA,UA588,05/01/2018,06:15:00,06/01/2018,20:05:00,,Economy,UA,3481.6,GBP,AMDTEST,All Nippon,0
1767884,MEL,SYD,SYD,MEL,VA823,02/01/2018,08:30:00,02/01/2018,09:55:00,,Economy,VA,VA886,14/01/2018,19:30:00,14/01/2018,21:05:00,,Economy,VA,984.88,AUD,JYH6XS,Virgin Australia,0
1769535,MEL,SYD,SYD,MEL,VA823,02/01/2018,08:30:00,02/01/2018,09:55:00,,Economy,VA,VA892,14/01/2018,20:30:00,14/01/2018,22:05:00,,Economy,VA,492.44,AUD,OAPPAM,Virgin Australia,0
1771212,MEL,SYD,SYD,MEL,VA823,02/01/2018,08:30:00,02/01/2018,09:55:00,,Economy,VA,VA892,14/01/2018,20:30:00,14/01/2018,22:05:00,,Economy,VA,492.44,AUD,TW7ES8,Virgin Australia,0
1801097,LGW,FLL,,,DY7045,03/01/2018,14:55:00,03/01/2018,19:35:00,,Business,DY,,,00:00:00,,00:00:00,,,,684.2,GBP,RSKLQQ,Norwegian Shuttle,1
1805120,MAN,HKG,SIN,MAN,EY16,03/01/2018,08:10:00,04/01/2018,09:10:00,,Economy,EY,EY473,21/01/2018,19:25:00,22/01/2018,06:40:00,,Economy,EY,1119.48,GBP,PWGRJC,Etihad Airways,0
1674031,GLA,AMS,AMS,GLA,KL1470,03/01/2018,06:00:00,03/01/2018,08:45:00,,Economy,KL,KL1471,07/01/2018,08:05:00,07/01/2018,08:35:00,,Economy,KL,177.78,GBP,ROY3MP,KLM,0
1797785,MEL,SYD,,,QF426,03/01/2018,11:00:00,03/01/2018,12:25:00,,Economy,QF,,,00:00:00,,00:00:00,,,,506.97,AUD,WIQLZM,Qantas Airways,1
1758154,LHR,HKG,SIN,LHR,QR4,03/01/2018,14:15:00,04/01/2018,14:45:00,,Economy,QR,QR947,21/01/2018,20:25:00,22/01/2018,06:20:00,,Economy,QR,966.14,GBP,WW7D4D,Qatar Airways,0
1635395,LHR,LAX,MIA,LHR,BA1545,04/01/2018,11:35:00,04/01/2018,15:05:00,,Economy,BA,IB4634,19/01/2018,17:25:00,20/01/2018,06:45:00,,Economy,IB,1049.94,GBP,5N5YZJ,American Airlines,0
1734687,LHR,PER,SYD,LHR,CX238,04/01/2018,17:15:00,05/01/2018,22:35:00,,Premium Economy,CX,CX100,04/02/2018,15:50:00,05/02/2018,06:20:00,,Premium Economy,CX,4436.74,GBP,UAINZA,Cathay Pacific,0
1736495,GLA,JFK,JFK,GLA,EI3221,04/01/2018,08:30:00,04/01/2018,13:40:00,,Economy,EI,EI108,08/01/2018,21:10:00,09/01/2018,11:10:00,,Economy,EI,825.18,GBP,KI7RD4,Aer Lingus,0
1786341,LHR,SCL,EZE,LHR,IB3167,04/01/2018,18:35:00,05/01/2018,09:05:00,,Economy,IB,BA244,23/01/2018,14:20:00,24/01/2018,06:35:00,,Economy,BA,2127,GBP,W2LHQ4,British Airways,0
1796081,MAN,HKG,SIN,MAN,QR24,04/01/2018,20:50:00,05/01/2018,21:25:00,,Economy,QR,QR947,21/01/2018,20:25:00,22/01/2018,05:50:00,,Economy,QR,961.88,GBP,PYPNTB,Qatar Airways,0
1609819,LHR,BNE,,,SQ305,04/01/2018,09:15:00,05/01/2018,19:45:00,,Economy,SQ,,,00:00:00,,00:00:00,,,,556.67,GBP,3SNN22,Singapore Airlines,1
1762740,MAN,EWR,EWR,MAN,UA80,04/01/2018,09:00:00,04/01/2018,12:20:00,,Economy,UA,UA81,19/01/2018,19:30:00,20/01/2018,07:15:00,,Economy,UA,1046.08,GBP,WK7IYG,United,0
1849281,MAN,JFK,JFK,MAN,VS127,04/01/2018,10:35:00,04/01/2018,13:15:00,,Economy,VS,VS4841,19/01/2018,13:35:00,20/01/2018,07:25:00,,Economy,VS,894.08,GBP,P8BOVP,Virgin Atlantic,0
1657959,LHR,LAX,MIA,LHR,VS23,04/01/2018,15:30:00,04/01/2018,18:40:00,,Economy,VS,DL4387,19/01/2018,21:40:00,20/01/2018,11:00:00,,Economy,DL,963.14,GBP,P8NRZA,Virgin Atlantic,0
1814972,LHR,JFK,JFK,LHR,VS3,04/01/2018,08:50:00,04/01/2018,12:00:00,,Premium Economy,VS,VS4,19/01/2018,18:30:00,20/01/2018,06:30:00,,Premium Economy,VS,1492.22,GBP,R6EBTE,Virgin Atlantic,0
1812068,GLA,MCO,MCO,GLA,BA2953,05/01/2018,07:05:00,05/01/2018,16:25:00,,Economy,BA,BA2036,29/01/2018,18:25:00,30/01/2018,12:55:00,,Economy,BA,811.44,GBP,WSDTW3,British Airways,0
1686609,LGW,FLL,FLL,LGW,DY7045,05/01/2018,14:55:00,05/01/2018,19:35:00,,Economy,DY,DY7046,14/01/2018,22:20:00,15/01/2018,11:30:00,,Economy,DY,1009,GBP,KBBMPF,Norwegian Shuttle,0
1747866,DXB,MAN,,,EK21,05/01/2018,03:00:00,05/01/2018,07:00:00,,Economy,EK,,,00:00:00,,00:00:00,,,,824.8,GBP,KKLLJD,Emirates,1
1712681,MEL,SYD,SYD,MEL,VA837,05/01/2018,11:00:00,05/01/2018,12:25:00,,Economy,VA,VA866,22/01/2018,17:00:00,22/01/2018,18:35:00,,Economy,VA,399.4,AUD,WBIQ2M,Virgin Australia,0
1712684,MEL,SYD,SYD,MEL,VA837,05/01/2018,11:00:00,05/01/2018,12:25:00,,Economy,VA,VA858,21/01/2018,16:00:00,21/01/2018,17:35:00,,Economy,VA,399.4,AUD,WC6O2I,Virgin Australia,0
1731061,MAN,MIA,MIA,MAN,BA1389,06/01/2018,09:55:00,06/01/2018,18:10:00,,Economy,BA,DL1359,21/01/2018,15:10:00,22/01/2018,07:00:00,,Economy,DL,1288.38,GBP,KA3R4J,British Airways,0
1738865,EDI,DEL,SIN,EDI,BA1455,06/01/2018,16:35:00,07/01/2018,08:50:00,,Economy,BA,BA16,31/01/2018,22:55:00,01/02/2018,07:45:00,,Economy,BA,1265.06,GBP,QDU8UN,British Airways,0
1696933,MAN,MCO,MCO,MAN,EI203,06/01/2018,08:15:00,06/01/2018,19:00:00,,Economy,EI,EI120,25/01/2018,20:50:00,26/01/2018,12:20:00,,Economy,EI,875.58,GBP,WWNMWH,Aer Lingus,0
1636219,LGW,DEL,SIN,LGW,EK16,06/01/2018,13:35:00,07/01/2018,09:10:00,,Economy,EK,EK355,29/01/2018,21:00:00,30/01/2018,06:40:00,,Economy,EK,980.94,GBP,5Q7PJG,Emirates,0
1674262,LGW,SIN,SIN,LGW,EK16,06/01/2018,13:35:00,07/01/2018,14:40:00,,Economy,EK,EK355,24/01/2018,21:00:00,25/01/2018,06:40:00,,Economy,EK,1027.14,GBP,SE6LFI,Emirates,0
1696981,LHR,SIN,SIN,LHR,EK2,06/01/2018,13:40:00,07/01/2018,14:40:00,,Economy,EK,EK355,20/01/2018,21:00:00,21/01/2018,06:50:00,,Economy,EK,1067.14,GBP,WZ95TT,Emirates,0
1696985,LHR,SIN,SIN,LHR,EK2,06/01/2018,13:40:00,07/01/2018,14:40:00,,Economy,EK,EK355,20/01/2018,21:00:00,21/01/2018,06:50:00,,Economy,EK,533.57,GBP,WZKXD7,Emirates,0
1701782,LHR,SIN,SIN,LHR,EK2,06/01/2018,13:40:00,07/01/2018,14:40:00,,Economy,EK,EK355,24/01/2018,21:00:00,25/01/2018,06:50:00,,Economy,EK,1066.74,GBP,UPPPDA,Emirates,0
1701798,LHR,SIN,SIN,LHR,EK2,06/01/2018,13:40:00,07/01/2018,14:40:00,,Economy,EK,EK355,24/01/2018,21:00:00,25/01/2018,06:50:00,,Economy,EK,1066.74,GBP,UQ8SNV,Emirates,0
1759013,LHR,DEL,SIN,LHR,EK30,06/01/2018,16:15:00,07/01/2018,08:40:00,,Economy,EK,EK355,04/02/2018,21:00:00,05/02/2018,06:45:00,,Economy,EK,996.74,GBP,KV7THI,Emirates,0
1722773,LHR,EWR,EWR,LHR,IB4623,06/01/2018,10:50:00,06/01/2018,14:05:00,,Economy,IB,IB4622,19/01/2018,18:40:00,20/01/2018,06:30:00,,Economy,IB,737.54,GBP,SVQ949,British Airways,0
1786216,EDI,EWR,EWR,EDI,UA39,06/01/2018,09:05:00,06/01/2018,12:00:00,,Economy,UA,LH7642,10/01/2018,20:00:00,11/01/2018,07:35:00,,Economy,LH,930.28,GBP,VPO96Q,United,0
1716585,LHR,MIA,MIA,LHR,VS117,06/01/2018,09:25:00,06/01/2018,14:40:00,,Economy,VS,VS118,21/01/2018,18:00:00,22/01/2018,07:30:00,,Economy,VS,833.54,GBP,RBTWAU,Virgin Atlantic,0
1776211,LHR,MIA,MIA,LHR,VS117,06/01/2018,09:40:00,06/01/2018,14:50:00,,Economy,VS,VS6,14/01/2018,20:45:00,15/01/2018,10:05:00,,Economy,VS,896.74,GBP,UZMFVJ,Virgin Atlantic,0
